Vendor	Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	spinning-disc	Binning	Magnification	aperture	dry-immersion	Number_of_channels	Images_per_well	z_plane	BF_Zplanes	Anomaly
PE	Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP2	Confocal	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP3	Confocal	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP4	Confocal	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP1	Widefield	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP2	Widefield	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP3	Widefield	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP4	Widefield	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP1	Widefield	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP2	Widefield	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP3	Widefield	NA	2	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP4	Widefield	NA	2	20	1	water	5	3	3		none
Yokogawa_Japan	Scope1_Yokogawa_Japan_20X	JUMP-MOA_compound_platemap	20201021T092317	Confocal	NA	1	20	0.75	dry	5	9	10		none
Yokogawa_Japan	Scope1_Yokogawa_Japan_40X	JUMP-MOA_compound_platemap	20201020T134356	Confocal	NA	1	40	0.95	dry	5	2	12	none	none
Yokogawa_US	Scope1_Yokogawa_US_10X	JUMP-MOA_compound_platemap	BRO0117014_10x	Confocal	NA	1	10	0.4	dry	6	4	12	10	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117033_20xb	Confocal	NA	1	20	1	immersion	5	9	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117056_20x	Confocal	NA	1	20	1	immersion	5	9	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch_12Z	JUMP-MOA_compound_platemap	BRO0117056_20xb	Confocal	NA	1	20	1	immersion	5	9	12	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO0117033	JUMP-MOA_compound_platemap	BRO0117033_20x	Confocal	NA	1	20	1	immersion	6	9	12	11	none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_20X	Confocal	NA	1	20	1	immersion	6	9	12	15	none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO01177034	JUMP-MOA_compound_platemap	BRO01177034_20x	Confocal	NA	1	20	1	immersion	6	9	12	13	none
Yokogawa_US	Scope1_Yokogawa_US_40X_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_40x	Confocal	NA	1	40	1	immersion	6	9	12	15	none
									 					
