Vendor	Batch	FoV_Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	Images_per_well	Sites-SubSampled	Binning	Magnification	Number_of_channels	z_plane	BF_Zplanes	Anomaly
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO0117059	1siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_20X	Confocal	9	1	1	20	6	3		none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO01177034	1siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034	JUMP-MOA_compound_platemap	BRO01177034_20x	Confocal	9	1	1	20	6	1		none
Yokogawa_US	Scope1_Yokogawa_US_40X_BRO0117059	1siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_40x	Confocal	9	1	1	40	6	1		none
MolDev	Scope1_MolDev_10X	2siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_4site_10XPA	Confocal	4	2	1	10	6	1		none
MolDev	Scope1_MolDev_10X	2siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crest	Confocal	4	2	1	10	6	1		none
MolDev	Scope1_MolDev_10X_4siteZ	2siteSubSample_Scope1_MolDev_10X_4siteZ	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crestz	Confocal	4	2	1	10	6	1		none
MolDev	Scope1_MolDev_20X_4site	2siteSubSample_Scope1_MolDev_20X_4site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_20XPA_Crestz	Confocal	4	2	1	20	6	1		none
MolDev	Scope1_MolDev_20X_9site	2siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_9site_20XPA	Confocal	9	2	1	20	6	1		none
MolDev	Scope1_MolDev_20X_9site	2siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_9site_20XPA_Crest	Confocal	9	2	1	20	6	1		none
Nikon	Scope1_Nikon_20X	2siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117061a	Widefield	9	2	1	20	4	3		none
