,Vendor,Batch,Assay_Plate_Barcode,sphering,Percent_Replicating,value_95_replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,Anomaly,Unnamed: 0,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Percent_Matching,value_95_matching,cell_count
31,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P3,False,37.77777777777778,0.3757640505169953,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.3563583637581454,120942
32,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P4,True,51.11111111111111,0.170735584241355,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,25.58139534883721,0.2256409585771452,122600
33,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P4,False,34.44444444444444,0.4275011552971247,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,9.30232558139535,0.4276850470685134,122600
34,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P1,True,56.66666666666666,0.1554729124500939,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2141620999463942,116849
35,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P1,False,13.333333333333334,0.996158186830702,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,4.651162790697675,0.997020486111178,116849
36,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P2,True,58.88888888888889,0.1492353978390735,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,23.25581395348837,0.1909279790448468,119891
37,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P2,False,25.555555555555557,0.4423873920516446,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.3799831252175638,119891
38,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P3,True,54.44444444444444,0.1706140394208772,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2269751067816032,119069
39,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P3,False,8.88888888888889,0.9980245625449744,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,4.651162790697675,0.998515596635772,119069
40,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P4,True,53.333333333333336,0.1630383921528545,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2208848885044044,120286
41,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P4,False,13.333333333333334,0.9893162820656805,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,9.30232558139535,0.9996193343679032,120286
42,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P1,True,54.44444444444444,0.1572929034497872,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.2328107382166478,115917
43,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P1,False,11.11111111111111,0.9802312779027448,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,6.976744186046512,0.9897636801681812,115917
44,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P2,True,58.88888888888889,0.1475725714419829,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2087079569076315,119183
45,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P2,False,10.0,0.9630634468145848,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,6.976744186046512,0.973914858830614,119183
46,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P3,True,52.22222222222223,0.1637054407814506,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2119470303106368,118130
47,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P3,False,6.666666666666667,0.9956221520130334,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,2.3255813953488373,0.9953154108866088,118130
48,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P4,True,58.88888888888889,0.1572254899472978,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2151988945648355,119331
49,PE,1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P4,False,11.11111111111111,0.8993840331212588,JUMP-MOA_compound_platemap,Widefield,3,1.0,1,20,5,1,,none,,,,,,,1.0,6.976744186046512,0.9231609753955436,119331
50,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP1,True,53.333333333333336,0.1500010151014372,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2171051639663308,114570
51,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP1,False,45.55555555555556,0.25175963254936,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2920829501941222,114570
52,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP2,True,52.22222222222223,0.1514160228765078,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.202316720301195,117449
53,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP2,False,42.22222222222222,0.2785681468624335,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.3011312073769645,117449
54,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP3,True,54.44444444444444,0.1665742365820299,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2402097198969797,117256
