,assay_plate_barcode,num_features,dropout,n_columns,sphering,percent_replicating,percent_matching
12,CPBroadPhenixNC1PlaneP3,228,"('Nuclei', 'Cytoplasm')",1188,True,52.22222222222223,18.6046511627907
13,CPBroadPhenixNC1PlaneP3,228,"('Nuclei', 'Cytoplasm')",1188,False,42.22222222222222,13.953488372093023
14,CPBroadPhenixNC1PlaneP3,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,True,0.0,0.0
15,CPBroadPhenixNC1PlaneP3,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,False,0.0,0.0
0,CPBroadPhenixNC1PlaneP2,510,(),3526,True,60.0,23.25581395348837
1,CPBroadPhenixNC1PlaneP2,510,(),3526,False,52.22222222222223,16.27906976744186
2,CPBroadPhenixNC1PlaneP2,385,"('Cytoplasm',)",2360,True,57.77777777777777,20.930232558139537
3,CPBroadPhenixNC1PlaneP2,385,"('Cytoplasm',)",2360,False,52.22222222222223,16.27906976744186
4,CPBroadPhenixNC1PlaneP2,356,"('Nuclei',)",2352,True,57.77777777777777,23.25581395348837
5,CPBroadPhenixNC1PlaneP2,356,"('Nuclei',)",2352,False,47.77777777777778,16.27906976744186
6,CPBroadPhenixNC1PlaneP2,430,"('Cells',)",2345,True,57.77777777777777,23.25581395348837
7,CPBroadPhenixNC1PlaneP2,430,"('Cells',)",2345,False,53.333333333333336,18.6046511627907
8,CPBroadPhenixNC1PlaneP2,228,"('Cells', 'Cytoplasm')",1181,True,53.333333333333336,18.6046511627907
9,CPBroadPhenixNC1PlaneP2,228,"('Cells', 'Cytoplasm')",1181,False,52.22222222222223,16.27906976744186
10,CPBroadPhenixNC1PlaneP2,246,"('Nuclei', 'Cells')",1173,True,55.55555555555556,18.6046511627907
11,CPBroadPhenixNC1PlaneP2,246,"('Nuclei', 'Cells')",1173,False,48.888888888888886,18.6046511627907
12,CPBroadPhenixNC1PlaneP2,227,"('Nuclei', 'Cytoplasm')",1188,True,58.88888888888889,23.25581395348837
13,CPBroadPhenixNC1PlaneP2,227,"('Nuclei', 'Cytoplasm')",1188,False,46.66666666666666,13.953488372093023
14,CPBroadPhenixNC1PlaneP2,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,True,0.0,0.0
15,CPBroadPhenixNC1PlaneP2,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,False,0.0,0.0
0,CPBroadPhenixNC1PlaneP4,454,(),3526,True,56.66666666666666,23.25581395348837
1,CPBroadPhenixNC1PlaneP4,454,(),3526,False,48.888888888888886,20.930232558139537
2,CPBroadPhenixNC1PlaneP4,343,"('Cytoplasm',)",2360,True,58.88888888888889,23.25581395348837
3,CPBroadPhenixNC1PlaneP4,343,"('Cytoplasm',)",2360,False,47.77777777777778,23.25581395348837
4,CPBroadPhenixNC1PlaneP4,328,"('Nuclei',)",2352,True,57.77777777777777,13.953488372093023
5,CPBroadPhenixNC1PlaneP4,328,"('Nuclei',)",2352,False,40.0,18.6046511627907
6,CPBroadPhenixNC1PlaneP4,388,"('Cells',)",2345,True,56.66666666666666,23.25581395348837
7,CPBroadPhenixNC1PlaneP4,388,"('Cells',)",2345,False,47.77777777777778,20.930232558139537
8,CPBroadPhenixNC1PlaneP4,204,"('Cells', 'Cytoplasm')",1181,True,58.88888888888889,23.25581395348837
9,CPBroadPhenixNC1PlaneP4,204,"('Cells', 'Cytoplasm')",1181,False,46.66666666666666,23.25581395348837
10,CPBroadPhenixNC1PlaneP4,228,"('Nuclei', 'Cells')",1173,True,56.66666666666666,16.27906976744186
11,CPBroadPhenixNC1PlaneP4,228,"('Nuclei', 'Cells')",1173,False,38.88888888888889,16.27906976744186
12,CPBroadPhenixNC1PlaneP4,206,"('Nuclei', 'Cytoplasm')",1188,True,56.66666666666666,16.27906976744186
13,CPBroadPhenixNC1PlaneP4,206,"('Nuclei', 'Cytoplasm')",1188,False,36.66666666666666,20.930232558139537
14,CPBroadPhenixNC1PlaneP4,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,True,0.0,0.0
15,CPBroadPhenixNC1PlaneP4,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,False,0.0,0.0
0,CPBroadPhenixNC1PlaneP1,449,(),3526,True,56.66666666666666,23.25581395348837
1,CPBroadPhenixNC1PlaneP1,449,(),3526,False,50.0,18.6046511627907
2,CPBroadPhenixNC1PlaneP1,354,"('Cytoplasm',)",2360,True,57.77777777777777,20.930232558139537
3,CPBroadPhenixNC1PlaneP1,354,"('Cytoplasm',)",2360,False,51.11111111111111,13.953488372093023
4,CPBroadPhenixNC1PlaneP1,320,"('Nuclei',)",2352,True,52.22222222222223,18.6046511627907
5,CPBroadPhenixNC1PlaneP1,320,"('Nuclei',)",2352,False,46.66666666666666,18.6046511627907
6,CPBroadPhenixNC1PlaneP1,378,"('Cells',)",2345,True,56.66666666666666,18.6046511627907
7,CPBroadPhenixNC1PlaneP1,378,"('Cells',)",2345,False,51.11111111111111,18.6046511627907
8,CPBroadPhenixNC1PlaneP1,212,"('Cells', 'Cytoplasm')",1181,True,60.0,18.6046511627907
9,CPBroadPhenixNC1PlaneP1,212,"('Cells', 'Cytoplasm')",1181,False,52.22222222222223,16.27906976744186
10,CPBroadPhenixNC1PlaneP1,226,"('Nuclei', 'Cells')",1173,True,53.333333333333336,16.27906976744186
11,CPBroadPhenixNC1PlaneP1,226,"('Nuclei', 'Cells')",1173,False,46.66666666666666,18.6046511627907
